provincia_cna18,toteap_02,totsup_02,toteap_88,totsup_88,toteap_18,totsup_18
buenos aires,51058,25787364,75004,27255342.1,36557,23525122.3
catamarca,9138,1588805.7,9512,2620352.4,10112,1178337.1
chaco,17090,6035022.3,21662,5451911.8,11951,5805950
chubut,3730,19205261.2,4241,19266290.1,3375,16984319.1
cordoba,26226,12244257.8,40061,13724885.5,20990,11711183.3
corrientes,15244,6860573,23176,7098426.1,10945,6143847.6
entre rios,21577,6351512.6,27132,6198502,13856,5203284.3
formosa,9962,5178607.1,12181,4221132.7,7918,4434916.8
jujuy,8983,1282062.5,8502,1883856.1,8642,1531600.7
la pampa,7775,12735009,8631,12462357,7063,10852993.6
la rioja,8116,3069497,7197,2442063.9,4870,2596975.3000000003
mendoza,30655,6422128.6,35158,5278268.9,20990,5988147.8
misiones,27955,2067804.8,28553,2282235,23125,1863684.1
neuquen,5568,2145699.7,6641,2774320.6,3547,3769624.7
rio negro,7507,14716469.7,9233,13427450.7,6787,11306739.2
salta,10297,4269499.2,9226,6039523.2,8705,4387086.5
san juan,8509,756224.6,10974,1204074.8,5667,799984.9
san luis,4297,5388387.6,6962,6053557.2,4060,5807572.6
santa cruz,950,19884210.2,1102,19220701.2,1184,13123383.3
santa fe,28103,11251653.2,36862,11080979,20095,9478912.1
santiago del estero,20949,5393633.3,21122,4836613.5,15396,6140852.2
tierra del fuego,90,1171747.1,79,1147356,216,747210
tucuman,9890,1137117.2,15998,1564376.5999999999,4085,1056306.6
